Case Description,Category,cleaned_text
"An employee reported harassment in the workplace, and I need legal guidance.",General,employe report harass workplac need legal guidanc
My client backed out after the deal was finalized and won’t sign the papers.,Commercial,client back deal final won't sign paper
Authorities seized false documents submitted to obtain business approval.,Commercial,author seiz fals document submit obtain busi approv
I want to take action against a worker who stole from the business account.,Commercial,want take action worker stole busi account
The discrimination has affected my job and I need legal support.,General,discrimin affect job need legal support
The inventor sold the patent to a foreign company under a licensing agreement.,Commercial,inventor sold patent foreign compani licens agreement
I’m suing the father for failing to support his children financially.,Personal Status,i'm su father fail support children financi
Authorities investigated allegations of neglect by the foster parent.,Personal Status,author investig alleg neglect foster parent
"I was stopped by store security for something I didn’t do, and I want advice.",General,stop store secur someth didn't want advic
I’m seeking help to settle an argument over property left by my parent.,Personal Status,i'm seek help settl argument properti left parent
The court reviewed a commercial dispute involving a financial threat.,Commercial,court review commerci disput involv financi threat
Someone entered my land and removed trees illegally.,General,someon enter land remov tree illeg
"I reached an agreement with my client, but they won’t sign the contract now.",Commercial,reach agreement client won't sign contract
A coworker sent defamatory emails about me at work.,General,cowork sent defamatori email work
I’m seeking legal advice about delays in adoption approval.,Personal Status,i'm seek legal advic delay adopt approv
I need legal advice to find out who must cover the repair expenses after the crash.,General,need legal advic find must cover repair expens crash
The ministry monitored all institutions involved in orphan care.,Personal Status,ministri monitor institut involv orphan care
I need guidance on how to cover my losses after the crash.,General,need guidanc cover loss crash
A rental issue arose between two businesses over a warehouse agreement.,Commercial,rental issu aros two busi warehous agreement
I want to know how to fix mistakes in my adoption paperwork.,Personal Status,want know fix mistak adopt paperwork
I’m looking for advice on how to report unauthorized building activity.,General,i'm look advic report unauthor build activ
Business partner hiding revenue from tax authorities.,Commercial,busi partner hide revenu tax author
The firm proposed a debt settlement to clear outstanding obligations.,Commercial,firm propos debt settlement clear outstand oblig
"I was injured in a public place, want compensation.",General,injur public place want compens
A commercial dispute arose due to embezzlement of business funds.,Commercial,commerci disput aros due embezzl busi fund
Authorities received a report about a rental issue between two tenants in the same building.,General,author receiv report rental issu two tenant build
The mother applied for custody transfer after the divorce.,Personal Status,mother appli custodi transfer divorc
The case involves unpaid alimony and a request for legal enforcement.,Personal Status,case involv unpaid alimoni request legal enforc
I need legal help because my identity was used to open fake accounts.,General,need legal help ident use open fake account
Landlord refusing to make necessary repairs.,Commercial,landlord refus make necessari repair
I need legal assistance to replace the documents I lost.,General,need legal assist replac document lost
A malpractice claim was submitted after the lawyer failed to handle the case properly.,General,malpractic claim submit lawyer fail handl case proper
A worker violated trust by stealing property from the business.,Commercial,worker violat trust steal properti busi
The inheritance dispute involves disagreement among heirs.,Personal Status,inherit disput involv disagr among heir
The father claimed the mother was unfit for child custody.,Personal Status,father claim mother unfit child custodi
A report confirmed significant pollution coming from nearby open dumping.,General,report confirm signific pollut come nearbi open dump
I want to file a consumer complaint against a retailer for poor service.,Commercial,want file consum complaint retail poor servic
The court handled a loan dispute between the company and the lender.,Commercial,court handl loan disput compani lender
I need legal help with negotiating my divorce settlement.,Personal Status,need legal help negoti divorc settlement
"Accident at work, seeking compensation.",General,accid work seek compens
A dispute arose over the terms of the distribution contract.,Commercial,disput aros term distribut contract
I need legal advice about enforcing alimony payments.,Personal Status,need legal advic enforc alimoni payment
The company launched an investigation into an assault incident on its premises.,Commercial,compani launch investig assault incid premis
The case focuses on determining legal custody after separation.,Personal Status,case focus determin legal custodi separ
Authorities reviewed an injury claim involving a severe fall.,General,author review injuri claim involv sever fall
The court investigated allegations of using false documents in trade transactions.,Commercial,court investig alleg use fals document trade transact
The woman filed a case to prove her certificate was genuine.,Personal Status,woman file case prove certif genuin
The victim provided screenshots of the threat as evidence.,General,victim provid screenshot threat evid
I need legal help after getting hurt on the job.,General,need legal help get hurt job
The husband and wife are arguing over family matters.,Personal Status,husband wife argu famili matter
A data breach occurred after hackers accessed personal information online.,General,data breach occur hacker access person inform onlin
I want to take legal action against a business that didn’t deliver my order.,Commercial,want take legal action busi didn't deliv order
Online defamation issue — can I sue the person who posted lies?,General,onlin defam issu — sue person post lie
The company reached a debt settlement agreement with its creditors.,Commercial,compani reach debt settlement agreement creditor
The individual filed a data protection request to remove his stored information.,General,individu file data protect request remov store inform
The mother reported welfare concerns regarding the father’s care.,Personal Status,mother report welfar concern regard father care
Online fraud case — personal information stolen and misused.,General,onlin fraud case — person inform stolen misus
I need legal help because the software contract terms are being violated.,Commercial,need legal help softwar contract term violat
The company launched an investigation into a physical attack on its premises.,Commercial,compani launch investig physic attack premis
A dispute arose between shareholders following allegations of financial deception.,Commercial,disput aros sharehold follow alleg financi decept
A property dispute arose between two businesses regarding a shared warehouse.,Commercial,properti disput aros two busi regard share warehous
A service dispute arose due to failure to meet contract terms.,Commercial,servic disput aros due failur meet contract term
I’m seeking legal advice about a dispute with my auto insurer.,General,i'm seek legal advic disput auto insur
I’m asking for legal advice about adoption requirements.,Personal Status,i'm ask legal advic adopt requir
The company faced legal action for personal data misuse involving customer records.,Commercial,compani face legal action person data misus involv custom record
An employee filed a complaint claiming human rights violations at the workplace.,Commercial,employe file complaint claim human right violat workplac
I’m seeking legal advice about dividing assets during a divorce.,Personal Status,i'm seek legal advic divid asset divorc
She reported malpractice after receiving incorrect treatment from a healthcare provider.,General,report malpractic receiv incorrect treatment healthcar provid
The buyer complained that the online shop delivered a damaged product.,Commercial,buyer complain onlin shop deliv damag product
The case involves a dispute over warranty coverage for a purchased product.,Commercial,case involv disput warranti coverag purchas product
"The custody fight is affecting our child, and I want to find a fair solution.",Personal Status,custodi fight affect child want find fair solut
I want to protect my original material from unauthorized use.,General,want protect origin materi unauthor use
My ex-partner stopped paying child support despite the court order.,Personal Status,expartn stop pay child support despit court order
The family disputed the contents of the late father’s testament.,Personal Status,famili disput content late father testament
Employee theft case — company items taken without authorization.,Commercial,employe theft case — compani item taken without author
I’m facing discrimination at work and want to take legal action.,General,i'm face discrimin work want take legal action
A dispute arose after the service complaint was ignored by the contractor.,Commercial,disput aros servic complaint ignor contractor
My husband won’t let go of the marriage despite constant conflict,Personal Status,husband won't let go marriag despit constant conflict
A dispute arose due to unresolved product complaints against the supplier.,Commercial,disput aros due unresolv product complaint supplier
I’m seeking legal advice about workplace harassment issues.,General,i'm seek legal advic workplac harass issu
Authorities issued warnings following reports of a public health risk.,General,author issu warn follow report public health risk
I’m asking for help because my supervisor has been harassing me.,General,i'm ask help supervisor harass
Illegal eviction by landlord.,Commercial,illeg evict landlord
I need legal help because my private pictures were uploaded publicly.,General,need legal help privat pictur upload public
Legal procedures were initiated to complete the business dissolution process.,Commercial,legal procedur initi complet busi dissolut process
The husband and wife are involved in a domestic disagreement.,Personal Status,husband wife involv domest disagr
I want to know how to report an accident at work and get medical coverage.,General,want know report accid work get medic coverag
The fraud involved tricking people into sending money through fake messages.,General,fraud involv trick peopl send money fake messag
A public safety report was submitted due to unsafe conditions in the neighborhood.,General,public safeti report submit due unsaf condit neighborhood
My former spouse and I can’t agree on who should have custody of our teen.,Personal Status,former spous can't agre custodi teen
An employee caused the company a fine after violating workplace safety rules.,Commercial,employe caus compani fine violat workplac safeti rule
The victim requested protection after receiving threats of a physical attack.,General,victim request protect receiv threat physic attack
The case involves online defamation and harm caused by fake posts.,General,case involv onlin defam harm caus fake post
I ordered something online but received the wrong product and want a refund.,Commercial,order someth onlin receiv wrong product want refund
Can I take legal action if my boss fires me without notice?,General,take legal action boss fire without notic
A case was filed involving intimidation by a neighbor.,General,case file involv intimid neighbor
The court reviewed a case involving violence during a business meeting.,Commercial,court review case involv violenc busi meet
A witness supported the victim’s injury claim with testimony.,General,wit support victim injuri claim testimoni
The shareholders disagreed on the appointment of a new director.,Commercial,sharehold disagre appoint new director
The court declared the marriage null and void.,Personal Status,court declar marriag null void
A witness reported intimidation during a community dispute.,General,wit report intimid communiti disput
The client filed a complaint about delivery issues with the recent shipment.,Commercial,client file complaint deliveri issu recent shipment
My reputation was damaged because of false statements in company emails.,General,reput damag fals statement compani email
The victim reported a data protection issue after his information was shared without consent.,General,victim report data protect issu inform share without consent
"The son challenged the testament, claiming it was made under pressure.",Personal Status,son challeng testament claim made pressur
The court ruled in favor of the mother in the child recognition case.,Personal Status,court rule favor mother child recognit case
The court reviewed a complaint related to environmental damage affecting local wildlife.,General,court review complaint relat environment damag affect local wildlif
The wife filed a case disputing the will’s terms and beneficiaries.,Personal Status,wife file case disput will term beneficiari
Authorities launched an inquiry regarding misuse of funds in a volunteer group.,General,author launch inquiri regard misus fund volunt group
I just want custody of my kids,Personal Status,want custodi kid
I need legal help to divide business profits after the partnership ended.,Commercial,need legal help divid busi profit partnership end
He reported a cyber privacy issue after someone accessed his social media account.,General,report cyber privaci issu someon access social media account
The family reported a hospital error after their relative received the wrong medication.,General,famili report hospit error relat receiv wrong medic
I want to talk to a lawyer about the process of registering my company.,Commercial,want talk lawyer process regist compani
I need assistance because my visa request was rejected unfairly.,General,need assist visa request reject unfair
What should I do if I want to become a legal guardian for a minor?,Personal Status,want becom legal guardian minor
I’m seeking advice on how to take legal action against data theft.,Commercial,i'm seek advic take legal action data theft
A lawsuit was filed against the trader for engaging in commercial fraud.,Commercial,lawsuit file trader engag commerci fraud
The case is about a dispute between drivers over payment for car damages.,General,case disput driver payment car damag
My customer claims the software doesn’t meet the agreed specifications.,Commercial,custom claim softwar doesn't meet agre specif
Dispute over unpaid freelance work.,Commercial,disput unpaid freelanc work
The husband initiated a legal process to end the marriage.,Personal Status,husband initi legal process end marriag
The borrower denied the charges listed in the loan dispute claim.,Commercial,borrow deni charg list loan disput claim
The court handled an injury claim caused by a reckless individual.,General,court handl injuri claim caus reckless individu
I’m involved in a dispute over copyright infringement of my work.,General,i'm involv disput copyright infring work
Tenant sues landlord for not returning security deposit.,Commercial,tenant sue landlord return secur deposit
The parents are involved in a custody dispute over their children.,Personal Status,parent involv custodi disput children
The court handled a commercial property dispute related to rental rights in a business area.,Commercial,court handl commerci properti disput relat rental right busi area
The suspect admitted to misuse of funds during the investigation.,General,suspect admit misus fund investig
The wife filed a case to prove that the divorce took place.,Personal Status,wife file case prove divorc took place
Custody was granted considering the best interest of the child.,Personal Status,custodi grant consid best interest child
Authorities investigated a case involving medical negligence in a public hospital.,General,author investig case involv medic neglig public hospit
The man was accused of possessing stolen property without knowing its origin.,General,man accus possess stolen properti without know origin
Authorities worked to resolve a public safety risk near a residential area.,General,author work resolv public safeti risk near residenti area
The case is about losing a passport overseas and needing assistance from authorities.,General,case lose passport oversea need assist author
A lawsuit was filed to deny false claims of lineage.,Personal Status,lawsuit file deni fals claim lineag
The case is about getting professional advice to finalize a quick divorce.,Personal Status,case get profession advic final quick divorc
I’m filing a case about a conflict between brothers and sisters regarding inheritance.,Personal Status,i'm file case conflict brother sister regard inherit
The customer is filing a complaint about receiving a defective product from an online store.,Commercial,custom file complaint receiv defect product onlin store
My ex refuses to give me custody of our children,Personal Status,ex refus give custodi children
My images are being shared on social media without my consent.,General,imag share social media without consent
I’m asking for help to correct errors in my visa application.,General,i'm ask help correct error visa applic
I want to know what I can do if someone posts my photos without authorization.,General,want know someon post photo without author
A rental issue escalated when a company refused to vacate a commercial property.,Commercial,rental issu escal compani refus vacat commerci properti
One firm took legal action after the other failed to ship the goods on time.,Commercial,one firm took legal action fail ship good time
A case was raised against an online seller for non-delivery of goods.,Commercial,case rais onlin seller nondeliveri good
I need legal help to prove I’m the rightful owner of the track.,General,need legal help prove i'm right owner track
A report confirmed that the clinic failed to uphold patient rights.,General,report confirm clinic fail uphold patient right
My partner tried to hide money and property when we started the divorce case.,Personal Status,partner tri hide money properti start divorc case
The court handled a commercial fraud case involving counterfeit products.,Commercial,court handl commerci fraud case involv counterfeit product
The police responded to concerns that the issue could harm public safety.,General,polic respond concern issu could harm public safeti
"A company used my design without credit, and I want to report it.",General,compani use design without credit want report
The case concerns a commercial dispute over digital purchase terms.,Commercial,case concern commerci disput digit purchas term
"A bank approved a fake loan using my documents, and I need help.",General,bank approv fake loan use document need help
The court began proceedings in a major corporate bankruptcy case.,Commercial,court began proceed major corpor bankruptci case
Authorities investigated a case of identity fraud reported by a resident.,General,author investig case ident fraud report resid
My case is about demanding the father’s financial responsibility toward his kids.,Personal Status,case demand father financi respons toward kid
The developer faced a property dispute involving commercial land borders.,Commercial,develop face properti disput involv commerci land border
The court issued a care decision in favor of the mother.,Personal Status,court issu care decis favor mother
Accident compensation claim.,General,accid compens claim
Authorities investigated a hospital error that caused harm to several patients.,General,author investig hospit error caus harm sever patient
A legal dispute arose after a major client expressed dissatisfaction with delivery performance.,Commercial,legal disput aros major client express dissatisfact deliveri perform
I’m looking for guidance on how to obtain custody or guardianship legally.,Personal Status,i'm look guidanc obtain custodi guardianship legal
The parent responsible for payments hasn’t sent any money.,Personal Status,parent respons payment hasn't sent money
Tenant rights case — facing illegal eviction threats.,General,tenant right case — face illeg evict threat
The firm updated its system after a major data protection failure.,Commercial,firm updat system major data protect failur
The court reviewed a case involving multiple driving offenses.,General,court review case involv multipl drive offens
I’m planning to write my will and would like professional legal advice.,Personal Status,i'm plan write would like profession legal advic
"Looking to adopt a child, need information about the legal steps involved.",Personal Status,look adopt child need inform legal step involv
The customer filed a complaint against the bank over an account issue.,Commercial,custom file complaint bank account issu
Employee harassment case — worker filing complaint against superior.,General,employe harass case — worker file complaint superior
The mother objected to the care decision transferring custody to the father.,Personal Status,mother object care decis transfer custodi father
The private hospital faced legal action for medical negligence towards a patient.,Commercial,privat hospit face legal action medic neglig toward patient
Divorce case — dispute over how to share joint property.,Personal Status,divorc case — disput share joint properti
Copyright violation — my images are being used without my approval.,General,copyright violat — imag use without approv
Unpaid invoice dispute — the client owes payment for three months now.,Commercial,unpaid invoic disput — client owe payment three month
The husband requested custody withdrawal because the child was unsafe.,Personal Status,husband request custodi withdraw child unsaf
I’m asking for guidance on the legal steps to set up a new business.,Commercial,i'm ask guidanc legal step set new busi
The brand owner filed a complaint to stop imitation in the market.,Commercial,brand owner file complaint stop imit market
Lawyers were appointed to negotiate a settlement for the company dispute.,Commercial,lawyer appoint negoti settlement compani disput
The case involves online fraud by a marketplace vendor.,Commercial,case involv onlin fraud marketplac vendor
I need legal help to report a fake seller from an e-commerce platform.,Commercial,need legal help report fake seller ecommerc platform
"My divorce settlement talks have stalled, and I need guidance.",Personal Status,divorc settlement talk stall need guidanc
The family dispute centered on proving the correct lineage of the heir.,Personal Status,famili disput center prove correct lineag heir
I’m having a dispute with a contractor who refuses to accept the payment terms.,Commercial,i'm disput contractor refus accept payment term
The supplier admitted responsibility for the product defect found during inspection.,Commercial,supplier admit respons product defect found inspect
I’m reporting a suspicious charge that I didn’t make.,General,i'm report suspici charg didn't make
She’s asking the judge for a khula divorce settlement.,Personal Status,she ask judg khula divorc settlement
People complained about air pollution caused by smoke in the residential district.,General,peopl complain air pollut caus smoke residenti district
Authorities investigated environmental damage affecting a public park.,General,author investig environment damag affect public park
My relatives are disputing how to share inherited assets.,Personal Status,relat disput share inherit asset
The supplier neglected his business obligation to deliver the goods on time.,Commercial,supplier neglect busi oblig deliv good time
I want the court to confirm who the father of the child is.,Personal Status,want court confirm father child
I need legal help to get compensation for my accident injuries.,General,need legal help get compens accid injuri
The vendor demanded immediate payment for pending invoices.,Commercial,vendor demand immedi payment pend invoic
The company failed to honor the employment terms we agreed on.,Commercial,compani fail honor employ term agre
I want to recover money for property damage done by my tenant.,Commercial,want recov money properti damag done tenant
My insurance company and the other party can’t agree on who’s responsible.,General,insur compani parti can't agre who respons
The husband filed a case claiming his ex-wife blocked his contact rights.,Personal Status,husband file case claim exwif block contact right
The court handled a commercial case involving data protection violations by a tech company.,Commercial,court handl commerci case involv data protect violat tech compani
The client is refusing to sign the contract even after we agreed on the terms.,Commercial,client refus sign contract even agre term
Both parties agreed to modify the financial agreement due to market changes.,Commercial,parti agre modifi financi agreement due market chang
The case involves a custody dispute concerning a teenage son or daughter.,Personal Status,case involv custodi disput concern teenag son daughter
An audit uncovered embezzlement of company assets by an employee.,Commercial,audit uncov embezzl compani asset employe
The victim claimed that the cyber privacy breach caused emotional distress.,General,victim claim cyber privaci breach caus emot distress
A company is filing a case against a client for failing to pay an old invoice.,Commercial,compani file case client fail pay old invoic
I need to report a scam online.,General,need report scam onlin
A staff member took internal files and sent them outside the organization.,Commercial,staff member took intern file sent outsid organ
I need legal advice about a tenant who refuses to pay after damaging my property.,Commercial,need legal advic tenant refus pay damag properti
Company terminated my contract without cause.,Commercial,compani termin contract without caus
My partner and I are arguing over who gets what from our business earnings.,Commercial,partner argu get busi earn
"The injury happened in a public spot, and I want to take legal steps.",General,injuri happen public spot want take legal step
Authorities investigated a data breach that exposed citizens’ private details.,General,author investig data breach expos citizen privat detail
The case involves disagreement between drivers about fault and insurance.,General,case involv disagr driver fault insur
A case was filed to enforce the terms of a debt settlement contract.,Commercial,case file enforc term debt settlement contract
The couple is going through a serious marital dispute.,Personal Status,coupl go serious marit disput
Both companies agreed to settle their intellectual property dispute out of court.,Commercial,compani agre settl intellectu properti disput court
A witness claimed to have seen a physical attack outside the building.,General,wit claim seen physic attack outsid build
"My boss keeps crossing boundaries, and I want to take action.",General,boss keep cross boundari want take action
The injury claim included medical reports describing the damage.,General,injuri claim includ medic report describ damag
A reconciliation request was submitted after the divorce judgment.,Personal Status,reconcili request submit divorc judgment
The distributor filed a case to enforce its exclusivity rights in the region.,Commercial,distributor file case enforc exclus right region
An employee was accused of theft after funds went missing.,Commercial,employe accus theft fund went miss
Visitation dispute — parent not following court agreement.,Personal Status,visit disput — parent follow court agreement
I’m filing a complaint because my employer terminated me without cause.,Commercial,i'm file complaint employ termin without caus
The business owner demanded compensation for loss of exclusivity rights.,Commercial,busi owner demand compens loss exclus right
Fighting for custody after ending their marriage,Personal Status,fight custodi end marriag
A revocation notice was submitted to restore the marital relationship.,Personal Status,revoc notic submit restor marit relationship
My husband/wife is not being honest about our shared property in court.,Personal Status,husbandwif honest share properti court
The buyer demanded compensation after delays caused by the supplier.,Commercial,buyer demand compens delay caus supplier
She asked for annulment because the marriage was not legally valid.,Personal Status,ask annul marriag legal valid
Authorities investigated a public safety issue involving hazardous materials.,General,author investig public safeti issu involv hazard materi
The court ordered the correction of errors in the family identity certificate.,Personal Status,court order correct error famili ident certif
I want to know how to prove copyright ownership in a legal case.,General,want know prove copyright ownership legal case
A media campaign caused major reputation damage to the company’s public image.,Commercial,media campaign caus major reput damag compani public imag
She applied for certified legal documentation to prove her divorce.,Personal Status,appli certifi legal document prove divorc
A fraud report was filed regarding fake social media accounts.,General,fraud report file regard fake social media account
The franchisee requested renewal of the expired franchise agreement.,Commercial,franchise request renew expir franchis agreement
The police received complaints about a health risk caused by nearby smoke.,General,polic receiv complaint health risk caus nearbi smoke
The court reviewed allegations of misconduct affecting investor rights.,Commercial,court review alleg misconduct affect investor right
The contractor didn’t complete the work but is demanding full payment.,Commercial,contractor didn't complet work demand full payment
My business partner breached our contract by not fulfilling their obligations.,Commercial,busi partner breach contract fulfil oblig
The case is about a client who hasn’t cleared payment for three months.,Commercial,case client hasn't clear payment three month
The landlord changed the rental amount unfairly and against the contract.,Commercial,landlord chang rental amount unfair contract
The father filed a new case to change the existing care decision.,Personal Status,father file new case chang exist care decis
An online order turned into a dispute after the product came broken.,Commercial,onlin order turn disput product came broken
The heirs reached no agreement regarding the will’s division of assets.,Personal Status,heir reach agreement regard will divis asset
I was dismissed from work without prior notice or explanation.,General,dismiss work without prior notic explan
"My rental rights are being violated, and I need legal support.",Commercial,rental right violat need legal support
A commercial investigation confirmed that the company endangered environmental safety through toxic waste.,Commercial,commerci investig confirm compani endang environment safeti toxic wast
The parents reached an agreement on visitation and access rights.,Personal Status,parent reach agreement visit access right
The court reviewed a dispute over the validity of the debt settlement.,Commercial,court review disput valid debt settlement
"The adoption procedure is complicated, and I want legal support.",Personal Status,adopt procedur complic want legal support
The business was fined for failing to maintain proper environmental safety standards.,Commercial,busi fine fail maintain proper environment safeti standard
She reported stolen property after her bag went missing in a public place.,General,report stolen properti bag went miss public place
I’m asking for advice about reporting a fraudulent seller.,Commercial,i'm ask advic report fraudul seller
I want to take legal action because my ex-partner ignored the payment order.,Personal Status,want take legal action expartn ignor payment order
What should I do if a company refuses to deliver my purchased goods?,Commercial,compani refus deliv purchas good
The case involves copyright infringement and music ownership rights.,General,case involv copyright infring music ownership right
I want to report an artist for stealing my original composition.,General,want report artist steal origin composit
Authorities investigated a case involving invasion of privacy on social media.,General,author investig case involv invas privaci social media
I was touched or spoken to inappropriately during my commute and need advice.,General,touch spoken inappropri commut need advic
My employer broke the contract and didn’t keep their promises.,Commercial,employ broke contract didn't keep promis
The firm updated its system following a major cyber privacy incident.,Commercial,firm updat system follow major cyber privaci incid
One of our clients is unhappy with the service agreement.,Commercial,one client unhappi servic agreement
The business owner was declared insolvent after the bankruptcy case ruling.,Commercial,busi owner declar insolv bankruptci case rule
The court reviewed medical reports before declaring the person legally incapacitated.,Personal Status,court review medic report declar person legal incapacit
Authorities reviewed a report of traffic violations in a crowded area.,General,author review report traffic violat crowd area
The police received multiple reports regarding pollution affecting the environment.,General,polic receiv multipl report regard pollut affect environ
I’m asking for legal guidance about parental kidnapping.,Personal Status,i'm ask legal guidanc parent kidnap
Employee harassment claims.,General,employe harass claim
The court handled a case involving breach of a distribution contract.,Commercial,court handl case involv breach distribut contract
I want to know how the court decides custody for teenagers.,Personal Status,want know court decid custodi teenag
The mother sought recognition of her child’s lineage through court.,Personal Status,mother sought recognit child lineag court
There’s a dispute among family members over inheritance from our deceased parent.,Personal Status,there disput among famili member inherit deceas parent
I need legal advice to get a divorce quickly.,Personal Status,need legal advic get divorc quick
I need guidance on how to prepare a valid will under the law.,Personal Status,need guidanc prepar valid law
I need legal help to recover the rent money owed to me.,Commercial,need legal help recov rent money owe
The company’s director was convicted for participating in organized financial crime.,Commercial,compani director convict particip organ financi crime
What should I do if someone defames me online?,General,someon defam onlin
The husband agreed to pay alimony as part of the settlement.,Personal Status,husband agre pay alimoni part settlement
Illegal building reported in community space — seeking legal support.,General,illeg build report communiti space — seek legal support
The victim reported personal data misuse after his private information was shared online.,General,victim report person data misus privat inform share onlin
I’m asking for advice about reporting defamation inside my company.,General,i'm ask advic report defam insid compani
Landlord increasing rent illegally.,Commercial,landlord increas rent illeg
The bank offered a reduced payment plan as part of the debt settlement.,Commercial,bank offer reduc payment plan part debt settlement
The case involves identity theft and misuse of private data.,General,case involv ident theft misus privat data
The business strengthened its security after suffering a large data breach.,Commercial,busi strengthen secur suffer larg data breach
The firm faced a heavy fine due to regulatory non-compliance.,Commercial,firm face heavi fine due regulatori noncompli
Car accident insurance dispute.,General,car accid insur disput
A case was opened after polluted water created a serious health risk.,General,case open pollut water creat serious health risk
The case concerns misuse and non-compliance with exclusivity rights in a trade deal.,Commercial,case concern misus noncompli exclus right trade deal
Social media defamation — seeking help to file a legal complaint.,General,social media defam — seek help file legal complaint
"My neighbor built over the boundary, and I want to take legal action.",General,neighbor built boundari want take legal action
"I took my car for repair, but they said the warranty doesn’t cover it.",Commercial,took car repair said warranti doesn't cover
I want legal advice about settling a dispute over family inheritance.,Personal Status,want legal advic settl disput famili inherit
The husband denied recognizing the child as his own.,Personal Status,husband deni recogn child
A complaint was filed due to traffic violations that endangered pedestrians.,General,complaint file due traffic violat endang pedestrian
She filed a case regarding a false divorce certificate.,Personal Status,file case regard fals divorc certif
"Invoice not paid by client for three months, need lawyer.",Commercial,invoic paid client three month need lawyer
There’s a contract dispute between two companies over a delayed shipment.,Commercial,there contract disput two compani delay shipment
The partners filed a lawsuit after failing to agree on profit distribution.,Commercial,partner file lawsuit fail agre profit distribut
The father filed a case requesting the transfer of child custody.,Personal Status,father file case request transfer child custodi
Dispute over copyright of music.,General,disput copyright music
The company managing the hospital was fined due to repeated malpractice incidents.,Commercial,compani manag hospit fine due repeat malpractic incid
A customer submitted an injury claim after slipping inside the store.,Commercial,custom submit injuri claim slip insid store
I misplaced court documents and need guidance on how to recover them.,General,misplac court document need guidanc recov
The officer issued a warning for a minor driving offense.,General,offic issu warn minor drive offens
I’m filing a complaint because the renter caused damage and won’t cover the costs.,Commercial,i'm file complaint renter caus damag won't cover cost
I want to take legal action against my partner for violating our deal.,Commercial,want take legal action partner violat deal
The court suspended visitation rights because of child welfare concerns.,Personal Status,court suspend visit right child welfar concern
Illegal eviction threat.,General,illeg evict threat
A report revealed misuse of funds allocated for educational programs.,General,report reveal misus fund alloc educ program
custody of my daughters,Personal Status,custodi daughter
The case involves human rights violations against vulnerable individuals.,General,case involv human right violat vulner individu
The woman filed a paternity case to prove the father of her child.,Personal Status,woman file patern case prove father child
Authorities launched a commercial investigation into environmental damage linked to the company.,Commercial,author launch commerci investig environment damag link compani
Another company is using our brand name without permission.,Commercial,anoth compani use brand name without permiss
My boss fired me without notice,General,boss fire without notic
A dispute arose regarding the fair division of the estate.,Personal Status,disput aros regard fair divis estat
Officers traced the stolen property using surveillance footage.,General,offic trace stolen properti use surveil footag
"My neighbor keeps making loud noises late at night, and I can’t take it anymore.",General,neighbor keep make loud nois late night can't take anymor
I need legal help to enforce my visitation schedule.,Personal Status,need legal help enforc visit schedul
I need help figuring out my legal options after being harassed at work.,General,need help figur legal option harass work
The dispute focused on transferring custody after a legal judgment.,Personal Status,disput focus transfer custodi legal judgment
The case involves complications in a visa application,General,case involv complic visa applic
The wife requested the court to correct errors in her marriage certificate.,Personal Status,wife request court correct error marriag certif
The firm reported intimidation attempts aimed at disrupting its operations.,Commercial,firm report intimid attempt aim disrupt oper
The employee was terminated for submitting false documents to management.,Commercial,employe termin submit fals document manag
I got injured in a park and want to understand my legal rights.,General,got injur park want understand legal right
The court reviewed a rental issue concerning an inherited home rented to outsiders.,Personal Status,court review rental issu concern inherit home rent outsid
A dispute arose between the franchisor and franchisee over payment terms.,Commercial,disput aros franchisor franchise payment term
Can I take legal action if I was wrongly accused of shoplifting?,General,take legal action wrong accus shoplift
A management conflict arose between the company’s board members.,Commercial,manag conflict aros compani board member
I’m looking for a lawyer because I got hurt in a public area and need compensation.,General,i'm look lawyer got hurt public area need compens
I want to know if I can sue someone for spreading lies about me on social media.,General,want know sue someon spread lie social media
A dispute arose regarding the terms of the financial agreement.,Commercial,disput aros regard term financi agreement
I want to take legal action against someone who’s cyberbullying me.,General,want take legal action someon who cyberbulli
The case involves commercial fraud and deliberate financial deception.,Commercial,case involv commerci fraud deliber financi decept
The case concerns delayed payments despite a completed debt settlement deal.,Commercial,case concern delay payment despit complet debt settlement deal
"My bicycle was stolen near my house, can I take legal action against the thief?",General,bicycl stolen near hous take legal action thief
The court handled a lawsuit concerning shareholder equity and dividends.,Commercial,court handl lawsuit concern sharehold equiti dividend
"I was hurt due to poor maintenance in a public place, need legal help.",General,hurt due poor mainten public place need legal help
Contractor dispute — disagreement over amount owed for construction work.,Commercial,contractor disput — disagr amount owe construct work
The woman applied to become a foster parent through the social care system.,Personal Status,woman appli becom foster parent social care system
There’s illegal construction happening in a public area near my home.,General,there illeg construct happen public area near home
The father appealed against the court’s care decision.,Personal Status,father appeal court care decis
The mother requested transfer of custodianship from her ex-husband.,Personal Status,mother request transfer custodianship exhusband
The business was sued after an injury claim linked to poor maintenance.,Commercial,busi su injuri claim link poor mainten
The police stopped him due to a driving offense in a residential area.,General,polic stop due drive offens residenti area
The case involves an accident claim for medical expenses and damages.,General,case involv accid claim medic expens damag
"The customer complained about poor performance, leading to a service dispute.",Commercial,custom complain poor perform lead servic disput
The insolvency case focused on restructuring debts to avoid liquidation.,Commercial,insolv case focus restructur debt avoid liquid
I want to report a store for unfair treatment and bad service.,Commercial,want report store unfair treatment bad servic
"My vehicle was damaged, and the person responsible has no insurance.",General,vehicl damag person respons insur
